disini akan berisikan list komponen untuk membuat data logger

Partlist at 10/08/2023 11.01

Part  Value                                                  Device                                                 Package                      Description                                                                                                                                                                                                                                                          ARROW_PART_NUMBER ARROW_PRICE-STOCK AVAILABILITY CENTROID_NOT_SPECIFIED COLLECTOR_BASE_VOLTAGE COLLECTOR_EMITTER_BREAKDOWN_VOLTAGE COLLECTOR_EMITTER_SATURATION_VOLTAGE COLLECTOR_EMITTER_VOLTAGE DATASHEET                                           DESCRIPTION                                                                                   DEVICE_CLASS_L1                                                          DEVICE_CLASS_L2 DEVICE_CLASS_L3 DIGIKEY_DESCRIPTION          DIGIKEY_PART_NUMBER EMITTER_BASE_VOLTAGE HEIGHT  HFE_MIN LEAD_FREE MANUFACTURER_NAME MANUFACTURER_PART_NUMBER MAX_COLLECTOR_CURRENT MAX_JUNCTION_TEMP MF                          MFG_PACKAGE_IDENT MFG_PACKAGE_IDENT_DATE MFG_PACKAGE_IDENT_REV MOUSER_DESCRIPTION                          MOUSER_PART_NUMBER MOUSER_PRICE-STOCK                                                                                                     MOUSER_TESTING_PART_NUMBER MOUSER_TESTING_PRICE-STOCK MP                 MPN         NUMBER_OF_ELEMENTS NUMBER_OF_NPN OC_FARNELL OC_NEWARK PACKAGE                    POPULARITY                 POWER_DISSIPATION PREFIX PRICE PROD_ID     PURCHASE-URL                                                    ROHS                                                         SF_ID     SF_SKU    SPICEPREFIX STANDOFF_HEIGHT TEMPERATURE_RANGE_HIGH VALUE          VERIFICATION_VERSION
BT1                                                          BATTERY-20MM_PTH                                       BATTCOM_20MM_PTH             Battery - Single Cell                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 BATT-09031                                                                                                                                         PRT-00783                                                                                       
C1    470uF                                                  CPOL-USE5-8.5                                          E5-8,5                       POLARIZED CAPACITOR, American symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
C2    2200uF                                                 CPOL-EU153CLV-1014                                     153CLV-1014                  POLARIZED CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        0                                                                                                                                                                                                                      C                                                                                     
D1    SS34                                                   DIODE-SCHOTTKY-B340A                                   SMA-DIODE                    Schottky diode                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        DIO-09886                                                                                                                                                                                                       3A/40V/500mV                       
D2    SMBJ12CA                                               SMBJ12CA                                               DIONM5436X244N               ESD Suppressors / TVS Diodes 12V 800W Bidir TransZorb 5% Tol                                                                                                                                                                                                                                                                                                                                                                                                                                                               ESD Suppressors / TVS Diodes 12V 800W Bidir TransZorb 5% Tol                                                                                                                                                                                                                 2.44mm                    Vishay            SMBJ12CA                                                                                                                                                                                                78-SMBJ12CA        https://www.mouser.co.uk/ProductDetail/Vishay-General-Semiconductor/SMBJ12CA?qs=%252BA9HMDDz5KaELJY%2F7%252BDUwA%3D%3D                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
D3    SS34                                                   DIODE-SCHOTTKY-B340A                                   SMA-DIODE                    Schottky diode                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        DIO-09886                                                                                                                                                                                                       3A/40V/500mV                       
D4    1A/40V/500mV                                           DIODE-SCHOTTKY-SS14                                    SMA-DIODE                    Schottky diode                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        DIO-08053                                                                                                                                                                                                       1A/40V/500mV                       
D5    1A/40V/500mV                                           DIODE-SCHOTTKY-SS14                                    SMA-DIODE                    Schottky diode                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        DIO-08053                                                                                                                                                                                                       1A/40V/500mV                       
D6    SS34                                                   DIODE-SCHOTTKY-B340A                                   SMA-DIODE                    Schottky diode                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        DIO-09886                                                                                                                                                                                                       3A/40V/500mV                       
D7    1A/40V/500mV                                           DIODE-SCHOTTKY-SS14                                    SMA-DIODE                    Schottky diode                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        DIO-08053                                                                                                                                                                                                       1A/40V/500mV                       
D8    1A/40V/500mV                                           DIODE-SCHOTTKY-SS14                                    SMA-DIODE                    Schottky diode                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        DIO-08053                                                                                                                                                                                                       1A/40V/500mV                       
D9    1A/40V/500mV                                           DIODE-SCHOTTKY-SS14                                    SMA-DIODE                    Schottky diode                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        DIO-08053                                                                                                                                                                                                       1A/40V/500mV                       
D10   1A/40V/500mV                                           DIODE-SCHOTTKY-SS14                                    SMA-DIODE                    Schottky diode                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        DIO-08053                                                                                                                                                                                                       1A/40V/500mV                       
D11   5.6V                                                   DIODE-ZENER-MMSZ5232BS                                 SOD-323                      Zener Diode                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           DIO-12442                                                                                                                                                                                                       5.6V                               
D12   5.6V                                                   DIODE-ZENER-MMSZ5232BS                                 SOD-323                      Zener Diode                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           DIO-12442                                                                                                                                                                                                       5.6V                               
D13   5.6V                                                   DIODE-ZENER-MMSZ5232BS                                 SOD-323                      Zener Diode                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           DIO-12442                                                                                                                                                                                                       5.6V                               
D14   5.6V                                                   DIODE-ZENER-MMSZ5232BS                                 SOD-323                      Zener Diode                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           DIO-12442                                                                                                                                                                                                       5.6V                               
D15   1A/40V/500mV                                           DIODE-SCHOTTKY-SS14                                    SMA-DIODE                    Schottky diode                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        DIO-08053                                                                                                                                                                                                       1A/40V/500mV                       
D16   1A/40V/500mV                                           DIODE-SCHOTTKY-SS14                                    SMA-DIODE                    Schottky diode                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        DIO-08053                                                                                                                                                                                                       1A/40V/500mV                       
D17   1A/40V/500mV                                           DIODE-SCHOTTKY-SS14                                    SMA-DIODE                    Schottky diode                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        DIO-08053                                                                                                                                                                                                       1A/40V/500mV                       
D18   1A/40V/500mV                                           DIODE-SCHOTTKY-SS14                                    SMA-DIODE                    Schottky diode                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        DIO-08053                                                                                                                                                                                                       1A/40V/500mV                       
D19   1A/40V/500mV                                           DIODE-SCHOTTKY-SS14                                    SMA-DIODE                    Schottky diode                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        DIO-08053                                                                                                                                                                                                       1A/40V/500mV                       
D20   1A/40V/500mV                                           DIODE-SCHOTTKY-SS14                                    SMA-DIODE                    Schottky diode                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        DIO-08053                                                                                                                                                                                                       1A/40V/500mV                       
D21   CDSOT23-SM712                                          CDSOT23-SM712                                          SOT23-3                      Dual TVS diode Check availability                                                                                                                                                                                                                                                                        In Stock                                                                                                                                                                                                           26V, 14V Clamp 17A (8/20µs) Ipp Tvs Diode Surface Mount SOT-23-3                                                                                                                                                                                                                                                                                                                         Bourns                                                                                                                                                                                                                                                                                                                                 CDSOT23-SM712                                                                        SOT-23 Bourns                                                                  None              https://pricing.snapeda.com/search?q=CDSOT23-SM712&ref=eda                                                                                                                                                                             
E1    HM-10-BOARD                                            HM-10-BOARD                                            26.9X13X2.2_BOARD            HM Bluetooth module use TI CC2540 or CC2541, Master and slave roles in one, transmission version and remote control version and PIO state acquisition functions in one, Support the AT command modify module parameters, Convenient and flexible. Check availability                                     Not in stock                                                                                                                                                                                                       Bluetooth 4.0 module with 4pin base board that can support iphone4s or later.                                                                                                                                                                                                                                                                                                            Jinan Huamao Technology                                                                                                                                                                                                                                                                                                                HM-10                                                                                Package                                                                        None                                                                                                                                                                                                                                                     
F1    6V/0.75A                                               PPTC_0.75A                                             1206                         Resettable Fuse PPTC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  RES-11150                                                                                                                                                                                                       6V/0.75A                           
F2    6V/0.5A                                                PPTC_6V500MA-2                                         1206                         Resettable Fuse PPTC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  RES-08585                                                                                                                                                                                                       6V/0.5A                            
F3    6V/0.5A                                                PPTC_6V500MA-2                                         1206                         Resettable Fuse PPTC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  RES-08585                                                                                                                                                                                                       6V/0.5A                            
FB1   30Ω/1.8A                                               FERRITE_BEAD-0603                                      0603                         Ferrite Bead (blocks, cores, rings, chokes, etc.)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     NDUC-13805                                                                                                                                                                                                      30Ω/1.8A                           
